PELEADORES


    Mago 6        a     Mago 7         

Guerrero 0         5         3
Guerrero 1         5         3
Guerrero 2         5         3
 Arquero 3         5         3
 Arquero 4         5         3
 Arquero 5         5         3
    Mago 6         5         4
    Mago 7         4         3
    Mago 8         5         3


    Mago 7        a  Arquero 3         

Guerrero 0         5         3
Guerrero 1         5         3
Guerrero 2         5         3
 Arquero 3         4         3
 Arquero 4         5         3
 Arquero 5         5         3
    Mago 6         5         4
    Mago 7         4         4
    Mago 8         5         3


Guerrero 1        a  Arquero 4         

Guerrero 0         5         3
Guerrero 1         5         4
Guerrero 2         5         3
 Arquero 3         4         3
 Arquero 4         4         3
 Arquero 5         5         3
    Mago 6         5         4
    Mago 7         4         4
    Mago 8         5         3


Guerrero 0        a     Mago 8         

Guerrero 0         5         4
Guerrero 1         5         4
Guerrero 2         5         3
 Arquero 3         4         3
 Arquero 4         4         3
 Arquero 5         5         3
    Mago 6         5         4
    Mago 7         4         4
    Mago 8         4         3


ATAQUE ESPECIAL
    Mago 6        a  Arquero 4         

Guerrero 0         5         4
Guerrero 1         5         4
Guerrero 2         5         3
 Arquero 3         4         3
 Arquero 4         1         3
 Arquero 5         5         3
    Mago 6         5         1
    Mago 7         4         4
    Mago 8         4         3


    Mago 6        a Guerrero 0         

Guerrero 0         4         4
Guerrero 1         5         4
Guerrero 2         5         3
 Arquero 3         4         3
 Arquero 4         1         3
 Arquero 5         5         3
    Mago 6         5         2
    Mago 7         4         4
    Mago 8         4         3


ATAQUE ESPECIAL
Guerrero 1        a     Mago 6         

Guerrero 0         4         4
Guerrero 1         5         1
Guerrero 2         5         3
 Arquero 3         4         3
 Arquero 4         1         3
 Arquero 5         5         3
    Mago 6         2         2
    Mago 7         4         4
    Mago 8         4         3

 -> Y LO MATA
 Arquero 5        a  Arquero 4         

Guerrero 0         4         4
Guerrero 1         5         1
Guerrero 2         5         3
 Arquero 3         4         3
 Arquero 4         0         3
 Arquero 5         5         4
    Mago 6         2         2
    Mago 7         4         4
    Mago 8         4         3


    Mago 6        a Guerrero 0         

Guerrero 0         3         4
Guerrero 1         5         1
Guerrero 2         5         3
 Arquero 3         4         3
 Arquero 4         0         3
 Arquero 5         5         4
    Mago 6         2         3
    Mago 7         4         4
    Mago 8         4         3


ATAQUE ESPECIAL -> Y LO MATA
    Mago 7        a Guerrero 0         

Guerrero 0         0         4
Guerrero 1         5         1
Guerrero 2         5         3
 Arquero 3         4         3
 Arquero 4         0         3
 Arquero 5         5         4
    Mago 6         2         3
    Mago 7         4         1
    Mago 8         4         3


ATAQUE ESPECIAL -> Y LO MATA
 Arquero 5        a     Mago 6         

Guerrero 0         0         4
Guerrero 1         5         1
Guerrero 2         5         3
 Arquero 3         4         3
 Arquero 4         0         3
 Arquero 5         5         1
    Mago 6        -1         3
    Mago 7         4         1
    Mago 8         4         3


    Mago 7        a  Arquero 3         

Guerrero 0         0         4
Guerrero 1         5         1
Guerrero 2         5         3
 Arquero 3         3         3
 Arquero 4         0         3
 Arquero 5         5         1
    Mago 6        -1         3
    Mago 7         4         2
    Mago 8         4         3


    Mago 8        a     Mago 7         

Guerrero 0         0         4
Guerrero 1         5         1
Guerrero 2         5         3
 Arquero 3         3         3
 Arquero 4         0         3
 Arquero 5         5         1
    Mago 6        -1         3
    Mago 7         3         2
    Mago 8         4         4


 Arquero 3        a Guerrero 2         

Guerrero 0         0         4
Guerrero 1         5         1
Guerrero 2         4         3
 Arquero 3         3         4
 Arquero 4         0         3
 Arquero 5         5         1
    Mago 6        -1         3
    Mago 7         3         2
    Mago 8         4         4


 Arquero 5        a Guerrero 1         

Guerrero 0         0         4
Guerrero 1         4         1
Guerrero 2         4         3
 Arquero 3         3         4
 Arquero 4         0         3
 Arquero 5         5         2
    Mago 6        -1         3
    Mago 7         3         2
    Mago 8         4         4


Guerrero 1        a Guerrero 2         

Guerrero 0         0         4
Guerrero 1         4         2
Guerrero 2         3         3
 Arquero 3         3         4
 Arquero 4         0         3
 Arquero 5         5         2
    Mago 6        -1         3
    Mago 7         3         2
    Mago 8         4         4


Guerrero 1        a  Arquero 5         

Guerrero 0         0         4
Guerrero 1         4         3
Guerrero 2         3         3
 Arquero 3         3         4
 Arquero 4         0         3
 Arquero 5         4         2
    Mago 6        -1         3
    Mago 7         3         2
    Mago 8         4         4


    Mago 7        a Guerrero 1         

Guerrero 0         0         4
Guerrero 1         3         3
Guerrero 2         3         3
 Arquero 3         3         4
 Arquero 4         0         3
 Arquero 5         4         2
    Mago 6        -1         3
    Mago 7         3         3
    Mago 8         4         4


Guerrero 2        a     Mago 7         

Guerrero 0         0         4
Guerrero 1         3         3
Guerrero 2         3         4
 Arquero 3         3         4
 Arquero 4         0         3
 Arquero 5         4         2
    Mago 6        -1         3
    Mago 7         2         3
    Mago 8         4         4


 Arquero 5        a     Mago 7         

Guerrero 0         0         4
Guerrero 1         3         3
Guerrero 2         3         4
 Arquero 3         3         4
 Arquero 4         0         3
 Arquero 5         4         3
    Mago 6        -1         3
    Mago 7         1         3
    Mago 8         4         4


ATAQUE ESPECIAL -> Y LO MATA
Guerrero 2        a     Mago 7         

Guerrero 0         0         4
Guerrero 1         3         3
Guerrero 2         3         1
 Arquero 3         3         4
